Epsilon,Klaszterek,Core pontok,Noise pontok,Noise %,Silhouette,Davies-Bouldin,Calinski-Harabasz,Megfelelő
0.015764933510889367,596,40701,3835,8.48244896153591,0.0790546960666773,0.5386078170057699,1944.9934893511304,✓
0.029066596160702396,431,42253,2493,5.514144787772887,0.03409842546373038,0.8035421296469624,1497.549168224568,✓
0.042368258810515425,337,42955,1915,4.235694853022495,0.0016189500745939752,1.0802241444130705,1247.8261235300522,✓
0.13818503986368397,36,44758,366,0.8095375019353698,0.4333979412259716,0.47581363439317176,121.69728760257263,✓
